oid,pelanggan,resto,menu,harga,prioritas,t_masuk_detik,t_selesai_detik,status
O-022307,"R. Joko Widiastuti, S.Pt",warung-bu-ida,nasi-padang,25000,2,42442,,ANTRE
O-022308,"Darmanto Kurniawan, S.E.",kantin-pusat,burger-kampus,21000,3,54963,57343,DONE
O-022309,Marwata Agustina,kafe-teknik,kopi-susu,18000,3,53575,,ANTRE
O-022310,Aslijan Winarno,kedai-kopi,bakso,16000,3,50408,51623,DONE
O-022311,Gandi Wibowo,bakso-pak-yon,es-campur,12000,1,78678,80108,DONE
O-022312,"H. Jagaraga Novitasari, S.T.",warung-bu-ida,mie-goreng,13000,3,40378,42468,DONE
O-022313,Novi Nuraini,warung-bu-ida,ayam-bakar,22000,2,49500,49915,DONE
O-022314,Aisyah Wijaya,kedai-kopi,kentang-goreng,14000,2,46626,47731,DONE
O-022315,Aris Hardiansyah,kedai-kopi,iga-penyet,27000,3,46444,47809,DONE
O-022316,"Dt. Bakiono Namaga, M.Kom.",bakso-pak-yon,roti-bakar,12000,2,39336,41106,DONE
O-022317,Artanto Wibisono,kedai-kopi,gado-gado,15000,2,28980,,ANTRE
O-022318,Himawan Situmorang,warung-bu-ida,iga-penyet,27000,1,48404,50214,DONE
O-022319,Artawan Hastuti,kantin-pusat,bakso,16000,2,68462,70067,DONE
O-022320,"Viman Firmansyah, S.Pd",kafe-teknik,kopi-susu,18000,2,28715,29405,DONE
O-022321,H. Gading Suryatmi,warung-bu-ida,kentang-goreng,14000,2,23256,24411,DONE
O-022322,Maryadi Wastuti,kafe-teknik,teh-tarik,9000,2,61586,62411,DONE
O-022323,Reza Mahendra,kantin-pusat,teh-tarik,9000,3,61122,62442,DONE
O-022324,Atmaja Lazuardi,kantin-pusat,nasi-goreng,15000,2,46383,48303,DONE
O-022325,Drs. Tiara Mangunsong,kantin-asrama,teh-tarik,9000,3,34114,35914,DONE
O-022326,Kunthara Adriansyah,kantin-asrama,roti-bakar,12000,2,68892,70317,DONE
O-022327,drg. Vanesa Kuswandari,warung-bu-ida,nasi-padang,25000,2,63404,65414,DONE
O-022328,Faizah Mandala,kantin-pusat,pecel-lele,18000,2,47315,,CANCEL
O-022329,Cakrajiya Prasasta,kantin-asrama,iga-penyet,27000,1,65066,66916,DONE
O-022330,Bancar Kuswoyo,warung-bu-ida,gado-gado,15000,1,53031,55256,DONE
O-022331,"Lidya Prakasa, S.Pt",warung-bu-ida,iga-penyet,27000,2,68049,69574,DONE
O-022332,Prima Gunarto,kedai-kopi,es-teh,5000,1,22708,24413,DONE
O-022333,Lulut Pratiwi,kedai-kopi,soto-ayam,14000,3,58249,59344,DONE
O-022334,"Jasmin Irawan, M.Pd",kantin-pusat,kopi-susu,18000,2,25088,25768,DONE
O-022335,Bajragin Rahayu,kantin-asrama,soto-ayam,14000,3,73209,74319,DONE
O-022336,"Dr. Rahayu Damanik, M.M.",kantin-asrama,teh-tarik,9000,2,76228,77808,DONE
O-022337,"Cahyadi Budiyanto, S.Ked",kantin-pusat,gorengan,6000,2,25604,27239,DONE
O-022338,Karma Andriani,kafe-teknik,bakso,16000,2,49042,50107,DONE
O-022339,Martaka Widiastuti,kafe-teknik,mie-goreng,13000,2,26820,28615,DONE
O-022340,"Karya Handayani, M.Farm",kedai-kopi,ayam-bakar,22000,3,69520,70855,DONE
O-022341,Indah Nashiruddin,kedai-kopi,es-teh,5000,3,69615,70145,DONE
O-022342,Kani Uyainah,warung-bu-ida,teh-tarik,9000,3,43079,44249,DONE
O-022343,"Ratih Suartini, M.Pd",kafe-teknik,ayam-geprek,19000,2,66126,,ANTRE
O-022344,dr. Nurul Habibi,kedai-kopi,bakso,16000,2,73897,76202,DONE
O-022345,Prayoga Wastuti,bakso-pak-yon,kopi-susu,18000,2,28120,28570,DONE
O-022346,Bakiadi Kuswoyo,kedai-kopi,air-mineral,4000,2,44089,,ANTRE
O-022347,Cahyadi Sihombing,kantin-pusat,air-mineral,4000,2,43848,45038,DONE
O-022348,Ajeng Nugroho,bakso-pak-yon,bubur-ayam,11000,2,24958,25808,DONE
O-022349,Pangestu Haryanto,kantin-asrama,air-mineral,4000,3,49082,50922,DONE
O-022350,Maryanto Suryatmi,kafe-teknik,bubur-ayam,11000,1,45063,46713,DONE
O-022351,Zaenab Rahmawati,kantin-asrama,bubur-ayam,11000,2,76722,77912,DONE
O-022352,Latif Najmudin,kafe-teknik,kentang-goreng,14000,3,63916,65081,DONE
O-022353,"Ir. Tina Adriansyah, S.Farm",kedai-kopi,kentang-goreng,14000,2,55986,58236,DONE
O-022354,Laksana Kuswandari,kantin-pusat,roti-bakar,12000,3,56522,57027,DONE
O-022355,"T. Karman Kurniawan, S.Kom",kedai-kopi,gorengan,6000,2,72046,,CANCEL
O-022356,Kasiyah Hastuti,kafe-teknik,nasi-padang,25000,2,63606,64261,DONE
O-022357,Drs. Tasnim Pertiwi,bakso-pak-yon,bakso,16000,2,43945,,ANTRE
O-022358,Irnanto Wulandari,warung-bu-ida,iga-penyet,27000,2,29113,29808,DONE
O-022359,Wira Sihotang,kantin-asrama,pecel-lele,18000,2,49825,51735,DONE
O-022360,Tirtayasa Mandala,kantin-asrama,nasi-padang,25000,2,40531,,CANCEL
O-022361,dr. Erik Nuraini,kantin-asrama,mie-goreng,13000,2,39445,40890,DONE
O-022362,Irma Hidayat,kantin-pusat,teh-tarik,9000,3,59860,62195,DONE
O-022363,Marwata Prasasta,warung-bu-ida,soto-ayam,14000,3,61243,63503,DONE
O-022364,"Hj. Nadine Hutagalung, S.E.I",kafe-teknik,nasi-padang,25000,2,48447,48627,DONE
O-022365,"Kusuma Anggriawan, S.T.",kantin-asrama,kentang-goreng,14000,2,40146,41061,DONE
O-022366,Carla Riyanti,kantin-asrama,sate-ayam,24000,2,22776,24596,DONE
O-022367,"Nardi Sitorus, S.Gz",bakso-pak-yon,mie-goreng,13000,1,62545,62815,DONE
O-022368,Yosef Nuraini,kafe-teknik,gorengan,6000,2,70614,71064,DONE
O-022369,Kamidin Saragih,bakso-pak-yon,es-campur,12000,2,49877,50887,DONE
O-022370,Daniswara Prakasa,kafe-teknik,gado-gado,15000,3,70144,,ANTRE
O-022371,Irwan Nasyidah,kantin-asrama,sate-ayam,24000,2,46684,48974,DONE
O-022372,"Tgk. Salsabila Zulaika, S.T.",kantin-asrama,mie-goreng,13000,3,42110,,CANCEL
O-022373,Mustika Utami,kantin-asrama,bakso,16000,2,28028,29293,DONE
O-022374,"Galar Pranowo, S.Sos",kedai-kopi,nasi-campur,20000,2,44737,45187,DONE
O-022375,"Saka Agustina, S.E.",kedai-kopi,roti-bakar,12000,2,49496,50411,DONE
O-022376,Vanesa Mangunsong,kedai-kopi,burger-kampus,21000,2,62889,63079,DONE
O-022377,R. Ghani Namaga,kantin-asrama,juice-alpukat,17000,3,59395,61335,DONE
O-022378,Natalia Sihotang,kedai-kopi,ayam-geprek,19000,2,23061,,ANTRE
O-022379,"R.M. Cakrabirawa Wacana, S.I.Kom",kantin-asrama,kopi-susu,18000,1,71607,,CANCEL
O-022380,Rudi Pradana,kantin-asrama,gorengan,6000,2,25449,27674,DONE
O-022381,"Tgk. Dono Hastuti, S.Kom",warung-bu-ida,mie-goreng,13000,2,76202,,ANTRE
O-022382,Danu Aryani,kantin-pusat,gorengan,6000,1,47562,49232,DONE
O-022383,"Tgk. Pranawa Yuniar, M.TI.",warung-bu-ida,roti-bakar,12000,3,65264,67474,DONE
O-022384,"T. Asirwanda Nugroho, S.Sos",kantin-pusat,ayam-bakar,22000,1,45077,45382,DONE
O-022385,Banawa Samosir,kantin-asrama,gado-gado,15000,2,47115,47825,DONE
O-022386,Kezia Sitorus,kantin-pusat,kopi-susu,18000,3,70066,72426,DONE
O-022387,"Dr. Jessica Tarihoran, S.Sos",kedai-kopi,gorengan,6000,2,41982,43882,DONE
O-022388,Bambang Putra,warung-bu-ida,pecel-lele,18000,3,77812,,CANCEL
O-022389,Laswi Nuraini,kedai-kopi,roti-bakar,12000,1,55414,56344,DONE
O-022390,Paramita Saefullah,bakso-pak-yon,bakso,16000,2,25487,27677,DONE
O-022391,"Syahrini Purnawati, S.E.I",kantin-pusat,roti-bakar,12000,2,70597,72167,DONE
O-022392,"Atma Utami, M.Farm",kantin-pusat,pecel-lele,18000,1,25665,25890,DONE
O-022393,"Dr. Keisha Aryani, S.Kom",kafe-teknik,air-mineral,4000,2,43022,44327,DONE
O-022394,Dian Salahudin,kafe-teknik,sate-ayam,24000,2,43959,46129,DONE
O-022395,Kani Firgantoro,kantin-asrama,soto-ayam,14000,2,77114,78144,DONE
O-022396,Anggabaya Laksita,kantin-pusat,nasi-campur,20000,2,66770,,ANTRE
O-022397,Kajen Jailani,kafe-teknik,juice-alpukat,17000,1,67248,69188,DONE
O-022398,"Umar Usada, S.T.",warung-bu-ida,ayam-geprek,19000,2,73770,75665,DONE
O-022399,"Almira Hidayanto, S.E.I",kafe-teknik,ayam-bakar,22000,1,41301,42826,DONE
O-022400,Simon Usamah,warung-bu-ida,pecel-lele,18000,1,41156,42226,DONE
O-022401,Novi Irawan,kantin-asrama,mie-ayam,13000,1,38065,39545,DONE
O-022402,Vino Aryani,kantin-asrama,es-teh,5000,3,58317,60662,DONE
O-022403,Elvina Hutagalung,kedai-kopi,soto-ayam,14000,2,23462,24512,DONE
O-022404,"R. Cawuk Pratiwi, S.T.",kantin-pusat,teh-tarik,9000,2,40358,,ANTRE
O-022405,Rini Rahmawati,warung-bu-ida,nasi-campur,20000,2,68253,69093,DONE
O-022406,Uchita Ramadan,kedai-kopi,kopi-susu,18000,2,49033,50853,DONE
O-022407,"Daniswara Kusumo, S.Farm",kantin-pusat,bubur-ayam,11000,2,40393,40773,DONE
O-022408,Clara Jailani,kafe-teknik,ayam-geprek,19000,3,62333,63848,DONE
O-022409,KH. Kawaya Prakasa,kantin-pusat,kopi-susu,18000,2,69005,70795,DONE
O-022410,Rama Widiastuti,kantin-pusat,nasi-campur,20000,2,36225,,CANCEL
O-022411,Cengkir Habibi,bakso-pak-yon,mie-goreng,13000,2,23604,23854,DONE
O-022412,Karma Dabukke,bakso-pak-yon,soto-ayam,14000,3,46628,47348,DONE
O-022413,Amelia Santoso,kantin-asrama,es-campur,12000,3,56205,57155,DONE
O-022414,Heryanto Wasita,kantin-asrama,sate-ayam,24000,2,44221,44631,DONE
O-022415,Faizah Suwarno,kantin-asrama,iga-penyet,27000,2,23167,23672,DONE
O-022416,Anastasia Zulkarnain,kantin-asrama,roti-bakar,12000,2,40128,40673,DONE
O-022417,"R. Suci Lailasari, S.Pd",kafe-teknik,sate-ayam,24000,3,43405,43930,DONE
O-022418,Gandi Maulana,kantin-asrama,pecel-lele,18000,2,29980,,CANCEL
O-022419,Nrima Maheswara,kafe-teknik,es-campur,12000,2,61681,62211,DONE
O-022420,Drs. Yessi Nashiruddin,kedai-kopi,gado-gado,15000,3,58100,,ANTRE
O-022421,"R. Silvia Hartati, S.E.",kantin-pusat,ayam-bakar,22000,2,71786,72681,DONE
O-022422,Ajimat Puspasari,kafe-teknik,burger-kampus,21000,3,57441,57651,DONE
O-022423,"Ir. Jaga Wastuti, M.M.",bakso-pak-yon,ayam-geprek,19000,2,38722,40162,DONE
O-022424,"Jamalia Saragih, S.Kom",kantin-pusat,kopi-susu,18000,3,64726,65311,DONE
O-022425,Tiara Pertiwi,kantin-asrama,roti-bakar,12000,3,64069,64764,DONE
O-022426,"Drajat Puspasari, S.I.Kom",kedai-kopi,juice-alpukat,17000,3,31969,32719,DONE
O-022427,Oman Saptono,bakso-pak-yon,roti-bakar,12000,3,46312,48482,DONE
O-022428,"Syahrini Purnawati, S.E.I",bakso-pak-yon,mie-ayam,13000,2,53959,,ANTRE
O-022429,Tgk. Genta Rajasa,kafe-teknik,ayam-geprek,19000,3,61901,63151,DONE
O-022430,Ellis Saptono,warung-bu-ida,es-campur,12000,2,70131,,ANTRE
O-022431,T. Rafid Usamah,kedai-kopi,ayam-bakar,22000,2,41646,42436,DONE
O-022432,Dodo Marbun,bakso-pak-yon,ayam-bakar,22000,2,43095,,CANCEL
O-022433,Darmanto Wijayanti,kedai-kopi,gado-gado,15000,1,53026,53546,DONE
O-022434,"Malika Haryanto, S.Ked",kedai-kopi,burger-kampus,21000,2,64866,65696,DONE
O-022435,"Garang Gunawan, S.Sos",kantin-pusat,air-mineral,4000,3,57073,,CANCEL
O-022436,"Sutan Rizki Mayasari, S.Farm",warung-bu-ida,air-mineral,4000,2,72247,73332,DONE
O-022437,"Tgk. Ghaliyati Mardhiyah, S.Farm",warung-bu-ida,sate-ayam,24000,2,49964,51249,DONE
O-022438,"Puti Ella Mustofa, S.E.",kedai-kopi,soto-ayam,14000,2,66090,67540,DONE
O-022439,Tiara Pertiwi,kafe-teknik,burger-kampus,21000,2,61303,,CANCEL
O-022440,"Putri Wibisono, S.Psi",bakso-pak-yon,sate-ayam,24000,3,28540,29345,DONE
O-022441,"Dartono Halimah, S.Psi",warung-bu-ida,pecel-lele,18000,3,60286,,ANTRE
O-022442,Joko Halim,warung-bu-ida,ayam-bakar,22000,2,77507,79782,DONE
O-022443,Pia Andriani,kantin-pusat,gado-gado,15000,2,60003,61408,DONE
O-022444,Puput Hariyah,kedai-kopi,mie-ayam,13000,2,37454,39784,DONE
O-022445,Ir. Vinsen Irawan,kedai-kopi,mie-ayam,13000,2,54153,55758,DONE
O-022446,"H. Nrima Mahendra, M.M.",kantin-pusat,soto-ayam,14000,3,57246,58111,DONE
O-022447,Dr. Oni Permadi,kantin-asrama,gado-gado,15000,3,63473,63863,DONE
O-022448,Atmaja Lazuardi,kedai-kopi,es-teh,5000,3,51375,53305,DONE
O-022449,"Jagapati Pudjiastuti, M.Kom.",kafe-teknik,sate-ayam,24000,2,53543,54413,DONE
O-022450,Wahyu Waskita,warung-bu-ida,iga-penyet,27000,2,77209,77724,DONE
O-022451,dr. Ibrani Firmansyah,kedai-kopi,mie-goreng,13000,3,46106,46371,DONE
O-022452,Hamima Lailasari,kantin-pusat,ayam-geprek,19000,2,62617,63792,DONE
O-022453,"Malika Novitasari, M.Ak",kantin-asrama,iga-penyet,27000,2,73451,75241,DONE
O-022454,Emong Saptono,kantin-asrama,kopi-susu,18000,2,72955,74810,DONE
O-022455,"T. Cakrajiya Agustina, M.Farm",kafe-teknik,burger-kampus,21000,2,39807,40042,DONE
O-022456,Dirja Sihombing,warung-bu-ida,kopi-susu,18000,3,64169,65404,DONE
O-022457,Lintang Melani,kedai-kopi,roti-bakar,12000,2,41874,43214,DONE
O-022458,Jaeman Pertiwi,bakso-pak-yon,iga-penyet,27000,2,45816,47951,DONE
O-022459,Shania Usamah,warung-bu-ida,pecel-lele,18000,1,79097,80262,DONE
O-022460,"Catur Anggraini, S.Ked",warung-bu-ida,es-campur,12000,1,25276,,ANTRE
O-022461,Widya Santoso,bakso-pak-yon,iga-penyet,27000,3,54889,56469,DONE
O-022462,"Drs. Irma Rahmawati, M.Pd",kantin-asrama,kopi-susu,18000,2,42047,43417,DONE
O-022463,Rina Hariyah,kantin-asrama,gado-gado,15000,3,75884,77609,DONE
O-022464,"dr. Eman Mustofa, M.Kom.",bakso-pak-yon,burger-kampus,21000,2,77841,79396,DONE
O-022465,Dalima Zulaika,kafe-teknik,mie-ayam,13000,3,55512,57212,DONE
O-022466,Joko Halim,bakso-pak-yon,roti-bakar,12000,2,66262,66937,DONE
O-022467,"drg. Lukita Natsir, M.Farm",bakso-pak-yon,bakso,16000,2,43057,44562,DONE
O-022468,"Kacung Situmorang, S.E.",kantin-pusat,es-teh,5000,2,73894,75099,DONE
O-022469,Agnes Winarno,kafe-teknik,juice-alpukat,17000,3,46755,47485,DONE
O-022470,Yulia Prasetya,bakso-pak-yon,sate-ayam,24000,3,45266,46726,DONE
O-022471,Sarah Utama,warung-bu-ida,bakso,16000,2,67321,,ANTRE
O-022472,Putu Sitorus,bakso-pak-yon,bubur-ayam,11000,3,65886,,CANCEL
O-022473,"Saiful Nugroho, S.I.Kom",warung-bu-ida,mie-goreng,13000,3,32538,32878,DONE
O-022474,Amelia Anggraini,bakso-pak-yon,mie-ayam,13000,2,24876,25426,DONE
O-022475,Bajragin Narpati,kedai-kopi,es-campur,12000,3,63286,63951,DONE
O-022476,Paiman Usamah,kantin-asrama,juice-alpukat,17000,2,33715,34850,DONE
O-022477,Rachel Pradana,kantin-asrama,es-campur,12000,3,34561,35431,DONE
O-022478,Lukita Agustina,warung-bu-ida,gorengan,6000,2,49081,50271,DONE
O-022479,Hilda Ramadan,kantin-pusat,es-teh,5000,3,67407,69662,DONE
O-022480,Hafshah Pradipta,kantin-pusat,gado-gado,15000,3,47881,48906,DONE
O-022481,"dr. Kiandra Rahmawati, S.Pd",kantin-pusat,bubur-ayam,11000,3,28229,,ANTRE
O-022482,Lintang Sihombing,kantin-pusat,mie-ayam,13000,1,58875,60055,DONE
O-022483,Bella Handayani,kedai-kopi,mie-goreng,13000,3,44277,45597,DONE
O-022484,"Gina Maulana, S.Sos",bakso-pak-yon,gado-gado,15000,3,70410,71275,DONE
O-022485,Zelaya Hartati,warung-bu-ida,ayam-geprek,19000,2,42664,44284,DONE
O-022486,"Ir. Usyi Rajata, M.Farm",bakso-pak-yon,sate-ayam,24000,1,30401,32791,DONE
O-022487,Malik Hutapea,kantin-pusat,mie-goreng,13000,3,63038,63858,DONE
O-022488,Winda Wulandari,kantin-pusat,kentang-goreng,14000,2,71146,71971,DONE
O-022489,"Sutan Makara Lazuardi, S.T.",kedai-kopi,roti-bakar,12000,3,67315,68210,DONE
O-022490,Siska Gunawan,kafe-teknik,es-campur,12000,3,50875,53035,DONE
O-022491,Winda Irawan,bakso-pak-yon,roti-bakar,12000,2,52417,,ANTRE
O-022492,"Jindra Saputra, S.E.",warung-bu-ida,nasi-goreng,15000,2,23669,24659,DONE
O-022493,H. Dono Mustofa,kafe-teknik,soto-ayam,14000,2,47271,49666,DONE
O-022494,dr. Erik Nuraini,bakso-pak-yon,pecel-lele,18000,2,46941,,CANCEL
O-022495,"Jarwi Tarihoran, S.Kom",bakso-pak-yon,teh-tarik,9000,3,48610,50590,DONE
O-022496,"Cut Indah Salahudin, S.E.",bakso-pak-yon,burger-kampus,21000,2,42718,44793,DONE
O-022497,Kayla Ramadan,kantin-asrama,roti-bakar,12000,3,47771,49311,DONE
O-022498,Mahmud Wahyuni,bakso-pak-yon,bubur-ayam,11000,1,54608,56213,DONE
O-022499,"Ir. Banawa Lestari, M.Ak",bakso-pak-yon,ayam-bakar,22000,3,48352,,ANTRE
O-022500,Maras Pradipta,kantin-asrama,gado-gado,15000,3,68466,69481,DONE
O-022501,Kasusra Saputra,warung-bu-ida,gado-gado,15000,1,39787,40242,DONE
O-022502,Dian Salahudin,warung-bu-ida,kopi-susu,18000,3,70223,,CANCEL
O-022503,Anita Lestari,bakso-pak-yon,teh-tarik,9000,2,77208,79598,DONE
O-022504,Rama Widiastuti,bakso-pak-yon,ayam-bakar,22000,2,64399,66404,DONE
O-022505,Sabrina Yuniar,kantin-asrama,gorengan,6000,3,69556,,ANTRE
O-022506,"Oskar Puspita, S.Sos",kantin-asrama,gorengan,6000,3,65517,67407,DONE
O-022507,Nadia Nugroho,warung-bu-ida,es-campur,12000,2,57766,60101,DONE
O-022508,Carla Riyanti,kantin-pusat,ayam-bakar,22000,2,50358,51638,DONE
O-022509,"H. Jindra Mansur, M.Pd",kantin-asrama,juice-alpukat,17000,2,57221,58186,DONE
O-022510,Yulia Lestari,kedai-kopi,nasi-campur,20000,2,77085,,ANTRE
O-022511,Hilda Ramadan,bakso-pak-yon,es-campur,12000,2,49798,50308,DONE
O-022512,Unjani Zulkarnain,bakso-pak-yon,burger-kampus,21000,3,49419,50299,DONE
O-022513,Dimaz Widiastuti,warung-bu-ida,mie-ayam,13000,2,59088,60833,DONE
O-022514,Kairav Sihombing,kedai-kopi,roti-bakar,12000,2,62180,62915,DONE
O-022515,Emas Mangunsong,kafe-teknik,nasi-padang,25000,2,40298,,CANCEL
O-022516,"Makara Mansur, S.Pt",kafe-teknik,bubur-ayam,11000,2,45402,46012,DONE
O-022517,Lala Hasanah,kantin-asrama,gado-gado,15000,2,58598,58783,DONE
O-022518,"Ilsa Palastri, S.Gz",warung-bu-ida,teh-tarik,9000,2,22259,23129,DONE
O-022519,Ulya Zulkarnain,bakso-pak-yon,mie-goreng,13000,3,33081,34261,DONE
O-022520,"Ir. Cawisono Safitri, S.H.",kantin-pusat,sate-ayam,24000,2,71526,,ANTRE
O-022521,"Alambana Winarsih, S.E.I",kantin-asrama,roti-bakar,12000,2,67523,69683,DONE
O-022522,Kasusra Saputra,kantin-asrama,es-teh,5000,3,71815,73130,DONE
O-022523,Mutia Anggriawan,bakso-pak-yon,pecel-lele,18000,2,49917,52137,DONE
O-022524,Sakura Lailasari,kedai-kopi,mie-goreng,13000,3,21647,24022,DONE
O-022525,Nadine Fujiati,kantin-pusat,gado-gado,15000,2,54778,55908,DONE
O-022526,Nyoman Gunarto,kedai-kopi,gorengan,6000,2,66177,67357,DONE
O-022527,Rachel Sudiati,kantin-asrama,gado-gado,15000,1,67974,69044,DONE
O-022528,Alika Sihombing,kedai-kopi,roti-bakar,12000,2,29567,30507,DONE
O-022529,Damu Yuniar,bakso-pak-yon,roti-bakar,12000,2,77350,79160,DONE
O-022530,Yusuf Kurniawan,kedai-kopi,es-teh,5000,2,52741,53301,DONE
O-022531,Mila Najmudin,bakso-pak-yon,burger-kampus,21000,2,50644,52624,DONE
O-022532,"Sutan Bakijan Napitupulu, M.Farm",kedai-kopi,bakso,16000,2,78408,78723,DONE
O-022533,Ira Latupono,warung-bu-ida,kentang-goreng,14000,2,57340,58700,DONE
O-022534,Gantar Thamrin,bakso-pak-yon,es-teh,5000,1,51445,,ANTRE
O-022535,Hana Winarno,kantin-asrama,nasi-goreng,15000,2,44939,46989,DONE
O-022536,Nasab Yolanda,kafe-teknik,roti-bakar,12000,3,68660,,ANTRE
O-022537,"Harja Natsir, S.Farm",bakso-pak-yon,air-mineral,4000,2,34792,36962,DONE
O-022538,"Dr. Wira Lestari, S.I.Kom",kafe-teknik,pecel-lele,18000,2,70355,70645,DONE
O-022539,Ega Simbolon,bakso-pak-yon,roti-bakar,12000,3,60593,62728,DONE
O-022540,"Adika Waskita, S.T.",warung-bu-ida,nasi-campur,20000,3,43770,,ANTRE
O-022541,KH. Koko Nababan,kafe-teknik,es-teh,5000,3,44637,46317,DONE
O-022542,"Drs. Cindy Sitorus, S.Gz",kedai-kopi,es-teh,5000,2,71330,72475,DONE
O-022543,"Raisa Sitorus, M.Kom.",kantin-pusat,ayam-bakar,22000,2,48387,49452,DONE
O-022544,"Zaenab Situmorang, M.M.",kantin-asrama,es-campur,12000,2,71156,72381,DONE
O-022545,Siska Sudiati,warung-bu-ida,mie-ayam,13000,2,70948,72023,DONE
O-022546,Calista Puspasari,bakso-pak-yon,ayam-geprek,19000,2,50854,52694,DONE
O-022547,Wahyu Waskita,warung-bu-ida,gado-gado,15000,3,47129,48114,DONE
O-022548,R. Cahya Padmasari,warung-bu-ida,mie-goreng,13000,2,63531,64831,DONE
O-022549,"R. Dariati Gunarto, S.I.Kom",kedai-kopi,teh-tarik,9000,2,57458,57858,DONE
O-022550,Okto Natsir,warung-bu-ida,nasi-campur,20000,3,64195,66265,DONE
O-022551,Hana Pertiwi,kafe-teknik,mie-goreng,13000,2,34361,35686,DONE
O-022552,"Hari Wibowo, S.Ked",kedai-kopi,nasi-padang,25000,2,32047,34047,DONE
O-022553,"Cut Intan Padmasari, M.Ak",kantin-pusat,soto-ayam,14000,2,71781,74126,DONE
O-022554,Lukita Sitorus,kedai-kopi,iga-penyet,27000,2,42334,,CANCEL
O-022555,"Dinda Usamah, S.Gz",kantin-pusat,iga-penyet,27000,2,43992,44437,DONE
O-022556,"Tgk. Oskar Hasanah, M.TI.",kantin-asrama,iga-penyet,27000,1,43539,44929,DONE
O-022557,Bakidin Rajasa,kafe-teknik,nasi-goreng,15000,2,47663,48628,DONE
O-022558,Balamantri Halim,warung-bu-ida,roti-bakar,12000,3,25370,27380,DONE
O-022559,Suci Haryanti,kantin-pusat,es-teh,5000,1,72770,74400,DONE
O-022560,Drs. Kiandra Damanik,kafe-teknik,nasi-padang,25000,3,43704,,CANCEL
O-022561,Prasetyo Jailani,warung-bu-ida,iga-penyet,27000,1,73087,74717,DONE
O-022562,Qori Najmudin,kedai-kopi,bubur-ayam,11000,3,25152,25937,DONE
O-022563,Jessica Hutapea,kedai-kopi,bubur-ayam,11000,2,46227,,ANTRE
O-022564,Raisa Wulandari,kedai-kopi,bubur-ayam,11000,2,60208,62598,DONE
O-022565,"Dt. Kamal Prasetyo, S.E.I",warung-bu-ida,es-teh,5000,2,40791,42446,DONE
O-022566,"R.A. Eva Uyainah, S.I.Kom",kedai-kopi,nasi-campur,20000,2,39872,40067,DONE
O-022567,Devi Saragih,kantin-asrama,bakso,16000,2,69337,70132,DONE
O-022568,Rafid Narpati,bakso-pak-yon,roti-bakar,12000,2,52546,53446,DONE
O-022569,Daliman Prastuti,warung-bu-ida,es-teh,5000,2,55427,,CANCEL
O-022570,Gandewa Puspasari,warung-bu-ida,bakso,16000,2,70431,,CANCEL
O-022571,Clara Nashiruddin,kafe-teknik,soto-ayam,14000,3,59267,61212,DONE
O-022572,Dewi Uwais,kantin-asrama,bakso,16000,2,28301,,CANCEL
O-022573,Tomi Hidayat,kedai-kopi,soto-ayam,14000,1,61555,62175,DONE
O-022574,Nardi Wibowo,kantin-asrama,iga-penyet,27000,2,66883,67938,DONE
O-022575,Balapati Tamba,kedai-kopi,es-teh,5000,2,31323,32983,DONE
O-022576,Bella Handayani,warung-bu-ida,mie-ayam,13000,3,61296,62421,DONE
O-022577,"Slamet Oktaviani, S.Gz",warung-bu-ida,bakso,16000,2,58516,60756,DONE
O-022578,Gabriella Marpaung,bakso-pak-yon,burger-kampus,21000,2,69691,71926,DONE
O-022579,Ratih Waskita,kedai-kopi,gado-gado,15000,2,66923,,ANTRE
O-022580,Ella Pratiwi,kafe-teknik,ayam-geprek,19000,2,42732,43782,DONE
O-022581,"Luis Suartini, M.Kom.",kafe-teknik,es-teh,5000,2,66558,68318,DONE
O-022582,"Cut Jessica Maheswara, M.Ak",kantin-asrama,kentang-goreng,14000,2,49968,50428,DONE
O-022583,Zahra Suryatmi,kantin-pusat,soto-ayam,14000,1,45454,47224,DONE
O-022584,"Tgk. Yani Firgantoro, M.M.",bakso-pak-yon,soto-ayam,14000,2,75251,75831,DONE
O-022585,dr. Septi Nasyiah,kantin-pusat,nasi-campur,20000,2,65181,65921,DONE
O-022586,Cakrabirawa Farida,bakso-pak-yon,gorengan,6000,2,47035,47265,DONE
O-022587,"Ir. Timbul Lestari, S.Pd",bakso-pak-yon,air-mineral,4000,3,66209,,ANTRE
O-022588,Hendra Rajasa,bakso-pak-yon,bakso,16000,2,41435,43490,DONE
O-022589,Sakura Wacana,warung-bu-ida,nasi-campur,20000,2,35495,,CANCEL
O-022590,Raihan Yuniar,kedai-kopi,mie-ayam,13000,2,24932,25727,DONE
O-022591,"Gangsar Prasasta, M.M.",kedai-kopi,mie-goreng,13000,3,69767,71427,DONE
O-022592,Kawaya Mansur,kantin-pusat,kentang-goreng,14000,2,27662,,ANTRE
O-022593,"Uchita Laksmiwati, S.IP",bakso-pak-yon,kentang-goreng,14000,2,31027,32087,DONE
O-022594,Pangeran Zulkarnain,kafe-teknik,juice-alpukat,17000,2,43097,45062,DONE
O-022595,Daliman Handayani,bakso-pak-yon,es-campur,12000,2,42022,43272,DONE
O-022596,Darmanto Wijayanti,bakso-pak-yon,nasi-goreng,15000,2,63301,64541,DONE
